CODVIA,CIVICO,BARRATO,X,Y,DENOMINAZIONE,CATEGORIA,GRADO,SOTTOTIPO,TIPO_U,MATRICE,NUM_ISCR,COD_SEDE,INDIRIZZO,TIPO,PARITARIA,NUM_CLASSI,TIPO_IST,ATTIVITA,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326,Location,ANNOSCOL,CODICE
515,9,,1514333.429,5033946.922,ITC CIVICO SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,181,4088,PZA VETRA 9,COMUNALE,PARITARIA,10,ISTITUTO TECNICO COMMERCIALE CIVICO SERALE,SERALE,1,1,DUOMO,9.182971863,45.45872181,"(45.4587218144102, 9.18297186341796)",,
604,71,,1513299.809,5034706.767,ITC COLLEGIO S.CARLO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,35,3024,CSO MAGENTA 71,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,3,ISTITUTO TECNICO COMMERCIALE,DIURNO,1,7,MAGENTA - S. VITTORE,9.169772284,45.46558154,"(45.4655815409406, 9.16977228438613)",,
5182,9,,1514095.059,5033721.907,ITC GIACOMO LEOPARDI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,84,3028,VIA ARENA 9,ENTE PRIVATO LAICO,PRIVATA PARITARIA,5,ISTITUTO TECNICO COMMERCIALE,DIURNO,1,6,PORTA TICINESE - CONCA DEL NAVIGLIO,9.179916668,45.45670129,"(45.4567012910427, 9.17991666835773)",,
3020,39,,1515990.883,5034504.977,ITC LEONARDO DA VINCI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,14,4097,VIA CORRIDONI FILIPPO 39,ENTE PRIVATO LAICO,PRIVATA PARITARIA,5,ISTITUTO TECNICO COMMERCIALE,DIURNO,1,4,GUASTALLA,9.204188874,45.46370899,"(45.4637089887177, 9.20418887351901)",,
4103,34,,1515793.938,5033741.507,ITC EDMONDO DE AMICIS,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,67,3027,VIA LAMARMORA ALFONSO 34,ENTE PRIVATO LAICO,PRIVATA PARITARIA,6,ISTITUTO TECNICO COMMERCIALE,DIURNO,1,4,GUASTALLA,9.20164526,45.45684148,"(45.4568414841477, 9.20164526035925)",,
1360,71,,1514978.214,5038100.626,ITC ZAPPA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,412,4183,VLE MARCHE 71,STATALE,PARITARIA,20,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,9,11,ISOLA,9.191344971,45.49609562,"(45.4960956175364, 9.19134497116544)",,
1108,51,,1515533.393,5037159.686,ITC MARIA CONSOLATRICE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,78,3036,VIA GIOIA MELCHIORRE 51,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,5,ISTITUTO TECNICO COMMERCIALE,DIURNO,2,11,ISOLA,9.19842074,45.48761419,"(45.4876141853097, 9.1984207397984)",,
4091,38,,1516926.998,5033160.117,ITC P. VERRI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,606,4109,VIA LATTANZIO 38,STATALE,PARITARIA,28,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,4,28,UMBRIA - MOLISE - CALVAIRATE,9.216116695,45.45158195,"(45.4515819494722, 9.21611669522363)",,
2281,4,,1517156.003,5037345.471,ITC MILANO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,145,4111,VIA GUINIZELLI GUIDO 4,ENTE PRIVATO LAICO,PRIVATA PARITARIA,6,ISTITUTO TECNICO COMMERCIALE,DIURNO,2,20,LORETO - CASORETTO - NOLO,9.219191056,45.48924853,"(45.4892485269868, 9.21919105590881)",,
6212,25,,1512846.964,5034395.542,ITC NICOLA MORESCHI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,746,4112,VLE SAN MICHELE DEL CARSO 25,STATALE,PARITARIA,34,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,1,7,MAGENTA - S. VITTORE,9.163971559,45.46278865,"(45.4627886547616, 9.16397155918112)",,
1539,55,,1512581.819,5041068.321,IISS VILFREDO FEDERICO PARETO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO ISTRUZIONE SUPERIORE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,430,4114,VIA LITTA MODIGNANI ALESSANDRO 55,STATALE,PARITARIA,20,ISTITUTO ISTRUZIONE SUPERIORE STATALE,DIURNO,9,81,BOVISASCA,9.160750514,45.52285476,"(45.5228547561716, 9.16075051361466)",,
2127,4,,1516036.148,5036366.226,ITC SCHIAPARELLI - GRAMSCI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,955,4116,VIA SETTEMBRINI LUIGI 4,STATALE,PARITARIA,45,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.204828443,45.48046097,"(45.4804609671974, 9.20482844259445)",,
2524,16,,1518922.133,5038460.211,IISS F.BESTA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO ISTRUZIONE SUPERIORE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,427,4118,VIA CALABRIA DON GIOVANNI 16,STATALE,PARITARIA,20,ISTITUTO ISTRUZIONE SUPERIORE STATALE,DIURNO,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.241834961,45.49923665,"(45.4992366460769, 9.2418349609102)",,
5436,7,,1514094.634,5030666.412,ITC CUSTODI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,220,4203,VIA DINI ULISSE 7,STATALE,PARITARIA,10,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.179824002,45.42919875,"(45.4291987541814, 9.17982400171202)",,
6306,130,,1508595.279,5035070.116,IISS P.SRAFFA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO ISTRUZIONE SUPERIORE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,287,4120,VIA F.LLI ZOIA 130,STATALE,PARITARIA,18,ISTITUTO ISTRUZIONE SUPERIORE STATALE,DIURNO,7,56,FORZE ARMATE,9.109599938,45.46892546,"(45.4689254581449, 9.1095999378222)",,
6860,11,,1509801.159,5037294.601,ITC CASSINIS,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,429,4207,VIA NATTA GIULIO 11,STATALE,PARITARIA,20,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.125070207,45.4889322,"(45.4889322000283, 9.1250702073438)",,
515,9,,1514333.429,5033946.922,ITG C.CATTANEO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,514,4087,PZA VETRA 9,STATALE,PARITARIA,22,ISTITUTO TECNICO STATALE PER GEOMETRI E COMMERCIALE,DIURNO,1,1,DUOMO,9.182971863,45.45872181,"(45.4587218144102, 9.18297186341796)",,
515,9,,1514333.429,5033946.922,ITG CIVICO SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,128,4088,PZA VETRA 9,COMUNALE,PARITARIA,7,ISTITUTO TECNICO STATALE PER GEOMETRI E COMMERCIALE CIVICO SERALE,SERALE,1,1,DUOMO,9.182971863,45.45872181,"(45.4587218144102, 9.18297186341796)",,
5182,13,,1514051.224,5033629.627,ITG MILANO  M.TIRELLI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,64,4126,VIA ARENA 13,ENTE PRIVATO LAICO,PRIVATA PARITARIA,5,ISTITUTO TECNICO COMMERCIALE PER GEOMETRI,DIURNO,1,6,PORTA TICINESE - CONCA DEL NAVIGLIO,9.179353408,45.45587156,"(45.4558715596519, 9.17935340799524)",,
3020,39,,1515990.883,5034504.977,ITG LEONARDO DA VINCI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,96,4097,VIA CORRIDONI FILIPPO 39,ENTE PRIVATO LAICO,PRIVATA PARITARIA,9,ISTITUTO TECNICO COMMERCIALE PER GEOMETRI,DIURNO,1,4,GUASTALLA,9.204188874,45.46370899,"(45.4637089887177, 9.20418887351901)",,
6175,1,,1513100.749,5035150.311,ITT Sr. MARCELLINE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,94,3029,PZA TOMMASEO NICOLO' 1,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,5,ISTITUTO TECNICO PER IL TURISMO,DIURNO,1,7,MAGENTA - S. VITTORE,9.167237767,45.46957762,"(45.4695776195498, 9.16723776668334)",,
5436,7,,1514094.634,5030666.412,Iø ITT CLAUDIO VARALLI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,455,4135,VIA DINI ULISSE 7,STATALE,PARITARIA,20,ISTITUTO TECNICO PER IL TURISMO STATALE,DIURNO,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.179824002,45.42919875,"(45.4291987541814, 9.17982400171202)",,
6860,11,,1509801.159,5037294.601,ITT A.GENTILESCHI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,1166,4207,VIA NATTA GIULIO 11,STATALE,PARITARIA,51,ISTITUTO TECNICO PER IL TURISMO STATALE,DIURNO,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.125070207,45.4889322,"(45.4889322000283, 9.1250702073438)",,
1035,8,,1514656.299,5036184.956,PACLE  A. MANZONI CIVICO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,PERITO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,277,4137,VIA MARSALA 8,COMUNALE,PARITARIA,16,PERITO AZIENDALE CORRISPONDENTE IN LINGUE ESTERE CIVICO,DIURNO,1,2,BRERA,9.187167928,45.47885961,"(45.4788596070346, 9.18716792758274)",,
4290,36,,1517137.708,5031143.867,ITSOS  A.STEINER,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,790,4150,VIA SAN DIONIGI 36,STATALE,PARITARIA,38,ISTITUTO TECNICO STATALE A ORDINAMENTO SPECIALE,DIURNO,5,36,SCALO ROMANA,9.218741306,45.43342858,"(45.4334285795014, 9.21874130641632)",,
2385,5,,1518697.738,5038703.936,IM MARIA VIGANO',ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO MAGISTRALE,STUDENTI,SERVIZI PRIVATI ESISTENTI,102,3095,VIA RICCARDI PADRE PLACIDO 5,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,5,ISTITUTO MAGISTRALE,DIURNO,2,19,PADOVA - TURRO - CRESCENZAGO,9.238972156,45.50143642,"(45.5014364230796, 9.2389721564042)",,
1066,16,,1514206.849,5036230.456,IMS C.TENCA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO MAGISTRALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,976,4161,BST DI PORTA VOLTA 16,STATALE,PARITARIA,47,ISTITUTO MAGISTRALE STATALE,DIURNO,1,69,SARPI,9.181418702,45.47927841,"(45.4792784112699, 9.18141870153592)",,
3176,2,,1517024.513,5035527.771,IMS VIRGILIO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO MAGISTRALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,1669,4163,PZA ASCOLI GRAZIADIO ISAIA 2,STATALE,PARITARIA,76,ISTITUTO MAGISTRALE STATALE,DIURNO,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.217445539,45.47289075,"(45.4728907469065, 9.21744553914114)",,
1064,8,,1514697.194,5036321.586,IM CIVICO SOCIO PSICOPEDAGOGICO SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO MAGISTRALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,69,4164,PZA VENTICINQUE APRILE 8,COMUNALE,PARITARIA,5,ISTITUTO MAGISTRALE CIVICO SERALE,SERALE,1,2,BRERA,9.187695239,45.48008855,"(45.480088549787, 9.1876952389084)",,
5223,17,,1514293.339,5032731.402,IMS AGNESI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO MAGISTRALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,1268,4165,VIA TABACCHI ODOARDO 17,STATALE,PARITARIA,55,ISTITUTO MAGISTRALE STATALE,DIURNO,5,6,PORTA TICINESE - CONCA DEL NAVIGLIO,9.182423898,45.44778175,"(45.4477817450553, 9.18242389814505)",,
5162,9,,1513646.314,5033778.152,LSP SACRO CUORE - LEOPARDI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PRIVATI ESISTENTI,103,3028,VIA CRESPI DANIELE 9,ENTE PRIVATO LAICO,PRIVATA PARITARIA,5,LICEO SOCIO PSCICO PEDAGOGICO,DIURNO,1,7,MAGENTA - S. VITTORE,9.174178953,45.45721643,"(45.4572164306243, 9.17417895311872)",,
3025,5,,1515869.533,5034448.042,LSS LEONARDO DA VINCI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,876,4171,VIA RESPIGHI OTTORINO 5,STATALE,PARITARIA,38,LICEO SCIENTIFICO STATALE,DIURNO,1,4,GUASTALLA,9.202634832,45.46319928,"(45.4631992782319, 9.20263483237962)",,
1064,8,,1514697.194,5036321.586,LS GEYMONAT CIVICO SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,79,4172,PZA VENTICINQUE APRILE 8,COMUNALE,PARITARIA,6,LICEO SCIENTIFICO CIVICO SERALE,SERALE,1,2,BRERA,9.187695239,45.48008855,"(45.480088549787, 9.1876952389084)",,
6175,1,,1513100.749,5035150.311,LS Sr. MARCELLINE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PRIVATI ESISTENTI,96,3029,PZA TOMMASEO NICOLO' 1,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,5,LICEO SCIENTIFICO,DIURNO,1,7,MAGENTA - S. VITTORE,9.167237767,45.46957762,"(45.4695776195498, 9.16723776668334)",,
3146,5,,1515575.598,5034000.422,LS ISTITUTO ZACCARIA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PRIVATI ESISTENTI,149,3026,VIA DELLA COMMENDA 5,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,7,LICEO SCIENTIFICO,DIURNO,1,4,GUASTALLA,9.198860953,45.45917686,"(45.4591768595565, 9.19886095299163)",,
7120,12,,1513788.579,5036190.666,LS ENRICO FERMI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PRIVATI ESISTENTI,199,4177,VIA ALFIERI VITTORIO 12,ENTE PRIVATO LAICO,PRIVATA PARITARIA,11,LICEO SCIENTIFICO,DIURNO,1,69,SARPI,9.176065945,45.47892862,"(45.4789286216723, 9.17606594505316)",,
604,71,,1513299.809,5034706.767,LS COLLEGIO S.CARLO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PRIVATI ESISTENTI,255,3024,CSO MAGENTA 71,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,14,LICEO SCIENTIFICO,DIURNO,1,7,MAGENTA - S. VITTORE,9.169772284,45.46558154,"(45.4655815409406, 9.16977228438613)",,
4103,34,,1515793.938,5033741.507,LS  DE AMICIS MARANGONI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PRIVATI ESISTENTI,218,3027,VIA LAMARMORA ALFONSO 34,ENTE PRIVATO LAICO,PRIVATA PARITARIA,11,LICEO SCIENTIFICO,DIURNO,1,4,GUASTALLA,9.20164526,45.45684148,"(45.4568414841477, 9.20164526035925)",,
1360,73,,1514877.114,5038139.436,IISS L.CREMONA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO ISTRUZIONE SUPERIORE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,824,4183,VLE MARCHE 73,STATALE,PARITARIA,39,ISTITUTO ISTRUZIONE SUPERIORE STATALE,DIURNO,9,11,ISOLA,9.190052215,45.4964471,"(45.4964470996321, 9.19005221500565)",,
1204,9,,1515744.118,5037210.036,LS S.AMBROGIO SALESIANO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PRIVATI ESISTENTI,370,3038,VIA COPERNICO NICOLO' 9,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,15,LICEO SCIENTIFICO,DIURNO,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.201118909,45.48806267,"(45.4880626741533, 9.20111890913409)",,
1108,42,,1515589.218,5037162.006,LS FA E S  ARGONNE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PRIVATI ESISTENTI,82,3040,VIA GIOIA MELCHIORRE 42,ENTE PRIVATO LAICO,PRIVATA PARITARIA,5,LICEO SCIENTIFICO,DIURNO,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.199135182,45.48763383,"(45.4876338264437, 9.19913518237548)",,
2128,7,,1516147.038,5036267.791,LSS A.VOLTA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,969,4187,VIA MARCELLO BENEDETTO 7,STATALE,PARITARIA,40,LICEO SCIENTIFICO STATALE,DIURNO,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.206244048,45.47957241,"(45.4795724109654, 9.20624404797925)",,
2134,41,,1516130.603,5036602.681,LS ISTITUTO GONZAGA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,LICEO,STUDENTI,SERVIZI PRIVATI ESISTENTI,167,3048,VIA VITRUVIO 41,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,8,LICEO SCIENTIFICO,DIURNO,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.206044735,45.48258711,"(45.4825871136999, 9.20604473524224)",,
